Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
PCB + stencil if needed,all components are on this,1,43.01,https://jlcpcb.com,jlcpcb
ALL components,all components that are on pcb,1,32.91,https://lcsc.com,lcsc
Cable ,Cable that connects both PCBs,1,8.46,https://www.aliexpress.com/item/1005010403001966.html,Aliexpress
,,Total cost,84.38,,
