:8
AE1:1
C1:1
C2:1
C22:1
C23:1
C26:1
C28:1
C29:1
C3:1
C30:1
C31:1
C34:1
C4:1
C5:1
C6:1
C7:1
L1:1
L4:1
L5:1
R1:1
R2:1
R3:1
U2:1
U3:1
U4:1
U5:1
USB1:1
USB2:1
X1:1
